Freq.	V(n002)/V(n001)
1.14815362149688e+003	(-3.21592984143576e-001dB,1.54953049567121e+001°)
1.17489755493953e+003	(-3.07619371845214e-001dB,1.51589948755021e+001°)
1.20226443461741e+003	(-2.94232573374951e-001dB,1.48293033297542e+001°)
1.23026877081238e+003	(-2.81409644719188e-001dB,1.45061428795746e+001°)
1.25892541179416e+003	(-2.69128398234401e-001dB,1.41894244585103e+001°)
1.28824955169313e+003	(-2.57367389499865e-001dB,1.38790575932058e+001°)
1.31825673855640e+003	(-2.46105903317667e-001dB,1.35749506113462e+001°)
1.34896288259165e+003	(-2.35323938981727e-001dB,1.32770108381268e+001°)
1.38038426460288e+003	(-2.25002194929373e-001dB,1.29851447815229e+001°)
1.41253754462275e+003	(-2.15122052880888e-001dB,1.26992583066594e+001°)
1.44543977074592e+003	(-2.05665561564682e-001dB,1.24192567996021e+001°)
1.47910838816820e+003	(-1.96615420118097e-001dB,1.21450453209116e+001°)
1.51356124843620e+003	(-1.87954961246549e-001dB,1.18765287493115e+001°)
1.54881661891248e+003	(-1.79668134216789e-001dB,1.16136119158361e+001°)
1.58489319246111e+003	(-1.71739487753283e-001dB,1.13561997288271e+001°)
1.62181009735892e+003	(-1.64154152900539e-001dB,1.11041972901535e+001°)
1.65958690743755e+003	(-1.56897825907988e-001dB,1.08575100030306e+001°)
1.69824365246174e+003	(-1.49956751188625e-001dB,1.06160436718121e+001°)
1.73780082874937e+003	(-1.43317704397061e-001dB,1.03797045941280e+001°)
1.77827941003892e+003	(-1.36967975667853e-001dB,1.01483996457332e+001°)
1.81970085860998e+003	(-1.30895353050182e-001dB,9.92203635843095e+000°)
1.86208713666286e+003	(-1.25088106170701e-001dB,9.70052299142060e+000°)
1.90546071796324e+003	(-1.19534970152315e-001dB,9.48376859641838e+000°)
1.94984459975804e+003	(-1.14225129812944e-001dB,9.27168307688463e+000°)
1.99526231496887e+003	(-1.09148204164901e-001dB,9.06417724168429e+000°)
2.04173794466952e+003	(-1.04294231232302e-001dB,8.86116285349576e+000°)
2.08929613085403e+003	(-9.96536532010861e-002dB,8.66255267227254e+000°)
2.13796208950222e+003	(-9.52173019135275e-002dB,8.46826049405072e+000°)
2.18776162394954e+003	(-9.09763847167108e-002dB,8.27820118538436e+000°)
2.23872113856833e+003	(-8.69224706722388e-002dB,8.09229071367880e+000°)
2.29086765276776e+003	(-8.30474771324465e-002dB,7.91044617368082e+000°)
2.34422881531991e+003	(-7.93436566866042e-002dB,7.73258581037310e+000°)
2.39883291901948e+003	(-7.58035844789249e-002dB,7.55862903850879e+000°)
2.45470891568502e+003	(-7.24201458988062e-002dB,7.38849645901136e+000°)
2.51188643150957e+003	(-6.91865246423791e-002dB,7.22210987245338e+000°)
2.57039578276885e+003	(-6.60961911432833e-002dB,7.05939228981778e+000°)
2.63026799189537e+003	(-6.31428913696342e-002dB,6.90026794073411e+000°)
2.69153480392690e+003	(-6.03206359831570e-002dB,6.74466227937273e+000°)
2.75422870333815e+003	(-5.76236898557357e-002dB,6.59250198816983e+000°)
2.81838293126444e+003	(-5.50465619379174e-002dB,6.44371497954658e+000°)
2.88403150312659e+003	(-5.25839954733661e-002dB,6.29823039577690e+000°)
2.95120922666637e+003	(-5.02309585526957e-002dB,6.15597860714934e+000°)
3.01995172040200e+003	(-4.79826349997503e-002dB,6.01689120856019e+000°)
3.09029543251358e+003	(-4.58344155830142e-002dB,5.88090101466688e+000°)
3.16227766016836e+003	(-4.37818895445794e-002dB,5.74794205372319e+000°)
3.23593656929627e+003	(-4.18208364388380e-002dB,5.61794956020992e+000°)
3.31131121482590e+003	(-3.99472182729597e-002dB,5.49085996636841e+000°)
3.38844156139201e+003	(-3.81571719409865e-002dB,5.36661089273679e+000°)
3.46736850452530e+003	(-3.64470019434178e-002dB,5.24514113778319e+000°)
3.54813389233574e+003	(-3.48131733840223e-002dB,5.12639066672355e+000°)
3.63078054770100e+003	(-3.32523052356644e-002dB,5.01030059960644e+000°)
3.71535229097171e+003	(-3.17611638669005e-002dB,4.89681319874129e+000°)
3.80189396320559e+003	(-3.03366568212204e-002dB,4.78587185554197e+000°)
3.89045144994279e+003	(-2.89758268407972e-002dB,4.67742107685213e+000°)
3.98107170553495e+003	(-2.76758461267968e-002dB,4.57140647081471e+000°)
4.07380277804111e+003	(-2.64340108282851e-002dB,4.46777473234322e+000°)
4.16869383470333e+003	(-2.52477357520495e-002dB,4.36647362824865e+000°)
4.26579518801591e+003	(-2.41145492856448e-002dB,4.26745198207186e+000°)
4.36515832240164e+003	(-2.30320885262086e-002dB,4.17065965866763e+000°)
4.46683592150961e+003	(-2.19980946077413e-002dB,4.07604754858334e+000°)
4.57088189614873e+003	(-2.10104082196653e-002dB,3.98356755227186e+000°)
4.67735141287196e+003	(-2.00669653097059e-002dB,3.89317256417530e+000°)
4.78630092322636e+003	(-1.91657929642930e-002dB,3.80481645671344e+000°)
4.89778819368444e+003	(-1.83050054598384e-002dB,3.71845406420798e+000°)
5.01187233627270e+003	(-1.74828004784467e-002dB,3.63404116677141e+000°)
5.12861383991362e+003	(-1.66974554818399e-002dB,3.55153447418670e+000°)
5.24807460249770e+003	(-1.59473242373647e-002dB,3.47089160980216e+000°)
5.37031796370250e+003	(-1.52308334902355e-002dB,3.39207109446352e+000°)
5.49540873857622e+003	(-1.45464797762836e-002dB,3.31503233050352e+000°)
5.62341325190346e+003	(-1.38928263697103e-002dB,3.23973558580753e+000°)
5.75439937337154e+003	(-1.32685003604652e-002dB,3.16614197797192e+000°)
5.88843655355586e+003	(-1.26721898561229e-002dB,3.09421345857060e+000°)
6.02559586074354e+003	(-1.21026413032407e-002dB,3.02391279754346e+000°)
6.16595001861479e+003	(-1.15586569233798e-002dB,2.95520356771917e+000°)
6.30957344480190e+003	(-1.10390922591555e-002dB,2.88805012948376e+000°)
6.45654229034652e+003	(-1.05428538258117e-002dB,2.82241761560482e+000°)
6.60693448007592e+003	(-1.00688968640200e-002dB,2.75827191622055e+000°)
6.76082975391978e+003	(-9.61622318970426e-003dB,2.69557966400142e+000°)
6.91830970918932e+003	(-9.18387913691980e-003dB,2.63430821949178e+000°)
7.07945784384134e+003	(-8.77095358988382e-003dB,2.57442565663735e+000°)
7.24435960074986e+003	(-8.37657610047631e-003dB,2.51590074850413e+000°)
7.41310241300913e+003	(-7.99991508761695e-003dB,2.45870295319340e+000°)
